 2000.380  26.1 -7.786  0.261
 2000.833  26.1 -7.652  0.316
 2000.900  26.1 -7.455  0.276
 2000.906  26.1 -7.645  0.312
 2003.089  26.1 -7.894  0.212
 2003.167  26.1 -7.645  0.319
 2003.910  26.1 -7.795  0.224
 2004.323  26.1 -7.645  0.312
 2004.975  26.1 -7.866  0.343
 2005.275  26.1 -7.635  0.319
 2005.313  26.1 -7.798  0.238
 2005.710  26.1 -7.895  0.241
 2005.759  26.1 -7.897  0.235
 2005.820  26.1 -7.899  0.245
 2006.726  26.1 -7.454  0.276
 2007.015  26.1 -7.896  0.248
 2007.222  26.1 -7.899  0.245
 2007.257  26.1 -7.893  0.268
 2007.441  26.1 -7.794  0.216
 2007.560  26.1 -7.868  0.338
 2007.708  26.1 -7.797  0.233
 2007.963  26.1 -7.692  0.230
 2008.548  26.1 -7.692  0.230
 2008.591  26.1 -7.936  0.206
 2008.797  26.1 -7.371  0.290
 2008.873  26.1 -7.520  0.281
 2009.031  26.1 -7.896  0.222
 2009.177  26.1 -7.936  0.206
 2009.991  26.1 -7.796  0.222
 2010.373  26.1 -7.455  0.275
 2010.697  26.1 -7.787  0.260
 2010.823  26.1 -7.896  0.220
 2010.916  26.1 -7.895  0.240
 2010.952  26.1 -7.782  0.221
 2011.062  26.1 -7.797  0.215
 2011.701  26.1 -7.869  0.324
 2012.227  26.1 -7.896  0.248
 2012.671  26.1 -7.895  0.211
 2012.815  26.1 -7.741  0.256
 2013.245  26.1 -7.520  0.285
 2013.259  26.1 -7.790  0.213
 2013.662  26.1 -7.883  0.308
 2013.716  26.1 -7.794  0.207
 2014.074  26.1 -7.860  0.209
 2014.131  26.1 -7.893  0.269
 2014.482  26.1 -7.894  0.276
 2014.642  26.1 -7.740  0.256
 2014.694  26.1 -7.868  0.337
 2014.929  26.1 -7.521  0.283
 2015.365  26.1 -7.868  0.207
 2015.487  26.1 -7.795  0.219
 2015.958  26.1 -7.896  0.248
 2016.080  26.1 -7.894  0.245
 2016.257  26.1 -7.518  0.286
 2016.525  26.1 -7.363  0.292
 2016.696  26.1 -7.518  0.284
 2016.726  26.1 -7.743  0.248
 2016.788  26.1 -7.364  0.295
 2017.025  26.1 -7.796  0.214
 2017.094  26.1 -7.794  0.226
 2017.255  26.1 -7.900  0.228
 2017.695  26.1 -7.868  0.337
 2017.852  26.1 -7.895  0.220
 2018.386  26.1 -7.519  0.285
 2018.778  26.1 -7.783  0.225
 2018.801  26.1 -7.519  0.285
 2018.893  26.1 -7.366  0.293
 2019.190  26.1 -7.784  0.257
 2019.519  26.1 -7.894  0.213
 2019.585  26.1 -7.538  0.288
 2019.723  26.1 -7.892  0.231
 2019.825  26.1 -7.894  0.244
 2019.847  26.1 -7.897  0.203
 2020.049  26.1 -7.789  0.218
 2020.494  26.1 -7.521  0.285
 2020.714  26.1 -7.367  0.285
 2020.750  26.1 -7.797  0.221
 2020.963  26.1 -7.892  0.230
 2021.390  26.1 -7.514  0.287
 2021.687  26.1 -7.897  0.203
 2022.486  26.1 -7.898  0.231
 2022.576  26.1 -7.530  0.282
 2022.665  26.1 -7.530  0.282
 2022.840  26.1 -7.536  0.284
 2023.088  26.1 -7.516  0.287
 2023.120  26.1 -7.895  0.220
 2023.704  26.1 -7.895  0.259
 2024.191  26.1 -7.368  0.287
 2024.342  26.1 -7.536  0.284
 2024.957  26.1 -7.534  0.285
 2025.277  26.1 -7.374  0.295
 2026.179  26.1 -7.458  0.282
 2026.311  26.1 -7.369  0.288
 2026.337  26.1 -7.889  0.214
 2026.648  26.1 -7.798  0.229
 2026.693  26.1 -7.489  0.281
 2026.921  26.1 -7.896  0.259
 2027.060  26.1 -7.777  0.231
 2027.779  26.1 -7.898  0.231
 2027.820  26.1 -7.493  0.285
 2028.196  26.1 -7.789  0.218
 2028.700  26.1 -7.363  0.292
 2028.920  26.1 -7.368  0.287
 2029.184  26.1 -7.786  0.222
 2029.259  26.1 -7.893  0.211
 2029.879  26.1 -7.869  0.308
 2030.327  26.1 -7.893  0.236
 2030.485  26.1 -7.929  0.226
 2030.643  26.1 -7.897  0.224
 2031.228  26.1 -7.789  0.218
 2031.433  26.1 -7.374  0.294
 2031.569  26.1 -7.898  0.231
 2032.003  26.1 -7.888  0.294
 2032.031  26.1 -7.543  0.291
 2032.407  26.1 -7.783  0.212
 2032.426  26.1 -7.375  0.295
 2032.624  26.1 -7.892  0.265
 2032.643  26.1 -7.933  0.206
 2032.782  26.1 -7.372  0.291
 2032.866  26.1 -7.492  0.285
